SiteID,StoreNumber,City,State,Address,MatchMethod,CoordinateDistanceMiles,CandidateCount
304954,1062,Friendswood,TX,150 W El Dorado Blvd,Unique store number,0,1
2608046,202,Frisco,TX,16066 State Highway 121,Unique store number,0,1
2573351,2463,Frisco,TX,355 Stonebrook Pkwy,Unique store number,0,1
4371025,263,Frisco,TX,16600 FM 423,Unique store number,0,1
2303778,3777,Frisco,TX,12220 Fm 423,Unique store number,0,1
942371,5866,Frisco,TX,8555 Preston Rd,Unique store number,0,1
302950,986,Frisco,CO,840 Summit Blvd,Unique store number,0,1
616845,5105,Front Royal,VA,10 Riverton Commons Dr,Unique store number,0,1
1947880,5819,Saint Johns,FL,445 State Road 13,Unique store number,0,1
303800,2931,Salisbury,MD,409 N Fruitland Blvd,Unique store number,0,1
304956,2979,Fort Worth,TX,7401 Park Vista Blvd,Unique store number,0,1
533860,2980,Keller,TX,8520 N Beach St,Unique store number,0,1
2190444,4165,Fort Worth,TX,2245 Jacksboro Hwy,Unique store number,0,1
2360424,7251,Fort Worth,TX,7800 Summer Creek Dr,Unique store number,0,1
303596,106,FULTON,KY,1405 Middle Rd,Unique store number,0,1
304055,273,FULTON,MS,100 Interchange Dr,Unique store number,0,1
787671,3332,FULTON,NY,1818 State Route 3,Unique store number,0,1
303963,51,FULTON,MO,1701 N Bluff St,Unique store number,0,1
304141,2836,Fuquay Varina,NC,1051 E Broad St,Unique store number,0,1
304797,674,Gallatin,TN,1112 Nashville Pike,Unique store number,0,1
2151117,4171,Garden Grove,CA,11822 Gilbert St,Unique store number,0,1
1815427,5864,Gardnerville,NV,1511 Grant Ave,Unique store number,0,1
304142,1385,GASTONIA,NC,3000 E Franklin Blvd,Unique store number,0,1
533864,5298,GASTONIA,NC,223 N Myrtle School Rd,Unique store number,0,1
2220318,7062,GASTONIA,NC,2324 S New Hope Rd,Unique store number,0,1
2846145,1966,Geneseo,NY,4235 Veteran Dr,Unique store number,0,1
303367,957,Geneseo,IL,125 E Bestor Dr,Unique store number,0,1
305179,1523,Glen Allen,VA,11400 W Broad St,Unique store number,0,1
303787,2279,Glen Burnie,MD,6721 Chesapeake Center Dr,Unique store number,0,1
303368,256,Glen Carbon,IL,400 Junction Dr,Unique store number,0,1
646180,5495,Glenolden,PA,50 N Macdade Blvd,Unique store number,0,1
304354,2116,QUEENSBURY,NY,891 State Route 9,Unique store number,0,1
305180,1759,Gloucester,VA,6819 Waltons Ln,Unique store number,0,1
906987,4695,Godfrey,IL,6660 Godfrey Rd,Unique store number,0,1
304969,290,GONZALES,TX,1114 E Sarah Dewitt Dr,Unique store number,0,1
303675,532,GONZALES,LA,308 N Airline Hwy,Unique store number,0,1
303538,2562,Goodland,KS,2160 Commerce Rd,Unique store number,0,1
744843,3604,Goodyear,AZ,14200 W Indian School Rd,Unique store number,0,1
